Sport,Year,Manufacturer,Athlete,Number,Description,Grade,Certification No.,Purchase Date,Purchase From,Purchase Price,Sold Date,Sold Price,Sold Payment Received,Expenses Shipping,Expenses Grading,Expenses Fees,Profit,ROI
Basketball,2023-24,Donruss,Scoot Henderson,2,Magician,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss,Kyrie Irving,4,Bomb Squad,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss,Zion Williamson,9,Bomb Squad,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss,Dirt Nowitzki,16,Bomb Squad,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss,James Nnaji,215,Rookie holo red and green laser /75,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss,Maxwell Lewis,235,Rookie green,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss,Max Christie,117,Green laser,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss,LeBron James,23,Franchise Features,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss Optic,"Luka Doncic, Kyrie Irving",5,Optical Illusions Purple,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss,Jayson Tatum,23,Franchise Features,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss,D’Angelo Russell,118,Green laser,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss,AJ Griffin,216,Rookie green,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss,Josh Hart,714,Green,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss,Steph Curry,65,Green,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss,Kentavious Caldwell-Pope,193,Green,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss,Seth Curry,23,Green,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss,Blake Wesley,99,Green,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss,Hunter Tyson,201,Rookie green,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss,Saddiq Bey,175,Green,,,4/12/2024,Facebook,$1.00,,,,,,,,
